SeqNo,Checking,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,GenderMarital,OtherDebtors,YearsAtResidence,RealEstate,Age,OtherInstallment,Housing,ExistingCredits,Job,NumLiable,Phone,Foreign,Credit
202,A11,12,Up To Date,car (new),1168,A61,1 - 4 years,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,Good
203,A14,27,Late Payment,business,5117,A61,4 - 7 years,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,Good
204,A11,12,Up To Date,retraining,902,A61,4 - 7 years,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,Bad
205,A14,12,Critical Account,car (new),1495,A61,>= 7 years,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,Good
206,A11,30,Critical Account,car (used),10623,A61,>= 7 years,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,Good
207,A14,12,Critical Account,furniture/equipment,1935,A61,>= 7 years,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,Good
208,A12,12,Critical Account,domestic appliances,1424,A61,4 - 7 years,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,Good
209,A11,24,Up To Date,business,6568,A61,1 - 4 years,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,Good
210,A14,12,Up To Date,car (used),1413,A64,4 - 7 years,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,Good
211,A14,9,Critical Account,radio/television,3074,A65,1 - 4 years,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,Good
212,A14,36,Up To Date,radio/television,3835,A65,>= 7 years,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,Good
213,A11,27,All Paid,business,5293,A61,unemployed,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,Bad
214,A13,30,Late Payment,business,1908,A61,>= 7 years,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,Bad
215,A14,36,Critical Account,radio/television,3342,A65,>= 7 years,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,Good
216,A12,6,Critical Account,retraining,932,A65,4 - 7 years,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,Good
217,A11,18,All Paid,business,3104,A61,4 - 7 years,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,Good
218,A13,36,Up To Date,radio/television,3913,A61,1 - 4 years,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,Good
219,A11,24,Up To Date,furniture/equipment,3021,A61,1 - 4 years,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,Good
220,A14,10,Up To Date,car (new),1364,A61,1 - 4 years,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,Good
221,A12,12,Up To Date,radio/television,625,A61,< 1 year,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,Good
222,A11,12,Up To Date,education,1200,A65,1 - 4 years,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,Good
223,A14,12,Up To Date,radio/television,707,A61,1 - 4 years,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,Good
224,A14,24,Late Payment,business,2978,A65,1 - 4 years,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,Good
225,A14,15,Up To Date,car (used),4657,A61,1 - 4 years,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,Good
226,A14,36,All Paid,repairs,2613,A61,1 - 4 years,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,Good
227,A12,48,Up To Date,radio/television,10961,A64,4 - 7 years,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,Bad
228,A11,12,Up To Date,furniture/equipment,7865,A61,>= 7 years,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,Bad
229,A14,9,Up To Date,radio/television,1478,A61,4 - 7 years,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,Bad
230,A11,24,Up To Date,furniture/equipment,3149,A61,< 1 year,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,Good
231,A13,36,Up To Date,radio/television,4210,A61,1 - 4 years,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,Bad
232,A14,9,Up To Date,car (new),2507,A63,>= 7 years,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,Good
233,A14,12,Up To Date,radio/television,2141,A62,4 - 7 years,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,Good
234,A12,18,Up To Date,radio/television,866,A61,1 - 4 years,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,Good
235,A14,4,Critical Account,radio/television,1544,A61,4 - 7 years,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,Good
236,A11,24,Up To Date,radio/television,1823,A61,unemployed,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,Bad
237,A12,6,Up To Date,car (new),14555,A65,unemployed,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,Bad
238,A12,21,Up To Date,business,2767,A62,>= 7 years,4,A91,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,Bad
239,A14,12,Critical Account,radio/television,1291,A61,1 - 4 years,4,A92,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,Good
240,A11,30,Up To Date,radio/television,2522,A61,>= 7 years,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,Good
241,A11,24,Up To Date,car (new),915,A65,>= 7 years,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,Bad
242,A14,6,Up To Date,radio/television,1595,A61,4 - 7 years,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,Good
243,A11,48,All Paid,car (used),4605,A61,>= 7 years,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,Bad
244,A14,12,Critical Account,business,1185,A61,1 - 4 years,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,Good
245,A14,12,All Paid This Bank,retraining,3447,A63,1 - 4 years,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,Good
246,A14,24,Up To Date,business,1258,A61,4 - 7 years,4,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,Good
247,A14,12,Critical Account,radio/television,717,A61,>= 7 years,4,A93,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,Good
248,A14,6,All Paid,car (new),1204,A62,1 - 4 years,4,A93,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,Good
249,A13,24,Up To Date,furniture/equipment,1925,A61,1 - 4 years,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,Good
250,A14,18,Up To Date,radio/television,433,A61,unemployed,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,Bad
251,A11,6,Critical Account,car (new),666,A64,4 - 7 years,3,A92,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,Good
252,A13,12,Up To Date,furniture/equipment,2251,A61,1 - 4 years,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,Good
253,A12,30,Up To Date,car (new),2150,A61,1 - 4 years,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,Bad
254,A14,24,Late Payment,furniture/equipment,4151,A62,1 - 4 years,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,Good
255,A12,9,Up To Date,furniture/equipment,2030,A65,4 - 7 years,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,Good
256,A12,60,Late Payment,radio/television,7418,A65,1 - 4 years,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,Good
257,A14,24,Critical Account,radio/television,2684,A61,1 - 4 years,4,A93,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,Good
258,A11,12,All Paid This Bank,radio/television,2149,A61,1 - 4 years,4,A91,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,Bad
259,A14,15,Up To Date,car (used),3812,A62,< 1 year,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,Good
260,A14,11,Critical Account,radio/television,1154,A62,unemployed,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,Good
261,A11,12,Up To Date,furniture/equipment,1657,A61,1 - 4 years,2,A93,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,Good
262,A11,24,Up To Date,radio/television,1603,A61,>= 7 years,4,A92,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,Good
263,A11,18,Critical Account,car (new),5302,A61,>= 7 years,2,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,Good
264,A14,12,Critical Account,education,2748,A61,>= 7 years,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,Good
265,A14,10,Critical Account,car (new),1231,A61,>= 7 years,3,A93,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,Good
266,A12,15,Up To Date,radio/television,802,A61,>= 7 years,4,A93,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,Bad
267,A14,36,Critical Account,business,6304,A65,>= 7 years,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,Good
268,A14,24,Up To Date,radio/television,1533,A61,< 1 year,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,Good
269,A11,14,Up To Date,car (new),8978,A61,>= 7 years,1,A91,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,Bad
270,A14,24,Up To Date,radio/television,999,A65,>= 7 years,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,Good
271,A14,18,Up To Date,car (new),2662,A65,4 - 7 years,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,Good
272,A14,12,Critical Account,furniture/equipment,1402,A63,4 - 7 years,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,Good
273,A12,48,All Paid This Bank,car (new),12169,A65,unemployed,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,Good
274,A12,48,Up To Date,radio/television,3060,A61,4 - 7 years,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,Bad
275,A11,30,Up To Date,repairs,11998,A61,< 1 year,1,A91,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,Bad
276,A14,9,Up To Date,radio/television,2697,A61,1 - 4 years,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,Good
277,A14,18,Critical Account,radio/television,2404,A61,1 - 4 years,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,Good
278,A11,12,Up To Date,furniture/equipment,1262,A65,>= 7 years,2,A91,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,Good
279,A14,6,Up To Date,furniture/equipment,4611,A61,< 1 year,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,Bad
280,A14,24,Up To Date,radio/television,1901,A62,1 - 4 years,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,Good
281,A14,15,Critical Account,car (used),3368,A64,>= 7 years,3,A93,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,Good
282,A14,12,Up To Date,furniture/equipment,1574,A61,1 - 4 years,4,A93,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,Good
283,A13,18,All Paid This Bank,radio/television,1445,A65,4 - 7 years,4,A93,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,Good
284,A14,15,Critical Account,furniture/equipment,1520,A65,>= 7 years,4,A93,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,Good
285,A12,24,Critical Account,car (new),3878,A62,< 1 year,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,Good
286,A11,47,Up To Date,car (new),10722,A61,< 1 year,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,Good
287,A11,48,Up To Date,car (used),4788,A61,4 - 7 years,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,Good
288,A12,48,Late Payment,others,7582,A62,unemployed,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,Good
289,A12,12,Up To Date,radio/television,1092,A61,1 - 4 years,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,Good
290,A11,24,Late Payment,radio/television,1024,A61,< 1 year,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,Bad
291,A14,12,Up To Date,business,1076,A61,1 - 4 years,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,Good
292,A12,36,Up To Date,car (used),9398,A61,< 1 year,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,Bad
293,A11,24,Critical Account,car (used),6419,A61,>= 7 years,2,A92,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,Good
294,A13,42,Critical Account,car (used),4796,A61,>= 7 years,4,A93,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,Good
295,A14,48,Critical Account,business,7629,A65,>= 7 years,4,A91,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,Good
296,A12,48,Up To Date,furniture/equipment,9960,A61,< 1 year,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,Bad
297,A14,12,Up To Date,car (used),4675,A65,< 1 year,1,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,Good
298,A14,10,Up To Date,car (new),1287,A65,>= 7 years,4,A93,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,Good
299,A14,18,Up To Date,furniture/equipment,2515,A61,1 - 4 years,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,Good
300,A12,21,Critical Account,furniture/equipment,2745,A64,4 - 7 years,3,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,Good
301,A14,6,Up To Date,car (new),672,A61,unemployed,1,A92,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,Good
302,A12,36,All Paid,radio/television,3804,A61,1 - 4 years,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,Bad
303,A13,24,Critical Account,car (new),1344,A65,4 - 7 years,4,A93,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,Bad
304,A11,10,Critical Account,car (new),1038,A61,4 - 7 years,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,Good
305,A14,48,Critical Account,car (new),10127,A63,1 - 4 years,2,A93,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,Bad
306,A14,6,Up To Date,furniture/equipment,1543,A64,1 - 4 years,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,Good
307,A14,30,Up To Date,car (used),4811,A65,4 - 7 years,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,Good
308,A11,12,Up To Date,radio/television,727,A62,< 1 year,4,A94,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,Bad
309,A12,8,Up To Date,furniture/equipment,1237,A61,1 - 4 years,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,Bad
310,A12,9,Up To Date,car (new),276,A61,1 - 4 years,4,A94,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,Good
311,A12,48,Up To Date,others,5381,A65,unemployed,3,A93,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,Good
312,A14,24,Up To Date,furniture/equipment,5511,A62,1 - 4 years,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,Good
313,A13,24,Up To Date,furniture/equipment,3749,A61,< 1 year,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,Good
314,A12,12,Up To Date,car (new),685,A61,4 - 7 years,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,Bad
315,A13,4,Up To Date,car (new),1494,A65,< 1 year,1,A93,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,Good
316,A11,36,All Paid This Bank,furniture/equipment,2746,A61,>= 7 years,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,Bad
317,A11,12,Up To Date,furniture/equipment,708,A61,1 - 4 years,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,Good
318,A12,24,Up To Date,furniture/equipment,4351,A65,1 - 4 years,1,A92,A101,4,A122,48,A143,A152,1,A172,1,A192,A201,Good
319,A14,12,Critical Account,education,701,A61,1 - 4 years,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,Good
320,A11,15,Late Payment,furniture/equipment,3643,A61,>= 7 years,1,A92,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,Good
321,A12,30,Critical Account,car (new),4249,A61,unemployed,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,Bad
322,A11,24,Up To Date,radio/television,1938,A61,< 1 year,4,A91,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,Bad
323,A11,24,Up To Date,car (used),2910,A61,4 - 7 years,2,A93,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,Good
324,A11,18,Up To Date,furniture/equipment,2659,A64,1 - 4 years,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,Good
325,A14,18,Critical Account,car (new),1028,A61,1 - 4 years,4,A92,A101,3,A121,36,A143,A152,2,A173,1,A191,A201,Good
326,A11,8,Critical Account,car (new),3398,A61,4 - 7 years,1,A93,A101,4,A121,39,A143,A152,2,A172,1,A191,A202,Good
327,A14,12,Critical Account,furniture/equipment,5801,A65,>= 7 years,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,Good
328,A14,24,Up To Date,car (new),1525,A64,4 - 7 years,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,Good
329,A13,36,Up To Date,radio/television,4473,A61,>= 7 years,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,Good
330,A12,6,Up To Date,radio/television,1068,A61,>= 7 years,4,A93,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,Good
331,A11,24,Critical Account,car (used),6615,A61,unemployed,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,Good
332,A14,18,Critical Account,education,1864,A62,1 - 4 years,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,Bad
333,A12,60,Up To Date,car (new),7408,A62,< 1 year,4,A92,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,Bad
334,A14,48,Critical Account,car (used),11590,A62,1 - 4 years,2,A92,A101,4,A123,24,A141,A151,2,A172,1,A191,A201,Bad
335,A11,24,All Paid,furniture/equipment,4110,A61,>= 7 years,3,A93,A101,4,A124,23,A141,A151,2,A173,2,A191,A201,Bad
336,A11,6,Critical Account,furniture/equipment,3384,A61,1 - 4 years,1,A91,A101,4,A121,44,A143,A151,1,A174,1,A192,A201,Bad
337,A12,13,Up To Date,radio/television,2101,A61,< 1 year,2,A92,A103,4,A122,23,A143,A152,1,A172,1,A191,A201,Good
338,A11,15,Up To Date,domestic appliances,1275,A65,1 - 4 years,4,A92,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,Bad
339,A11,24,Up To Date,furniture/equipment,4169,A61,1 - 4 years,4,A93,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,Good
340,A12,10,Up To Date,furniture/equipment,1521,A61,1 - 4 years,4,A91,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,Good
341,A12,24,Critical Account,education,5743,A61,< 1 year,2,A92,A101,4,A124,24,A143,A153,2,A173,1,A192,A201,Good
342,A11,21,Up To Date,furniture/equipment,3599,A61,4 - 7 years,1,A92,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,Good
343,A12,18,Up To Date,radio/television,3213,A63,< 1 year,1,A94,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,Good
344,A12,18,Up To Date,business,4439,A61,>= 7 years,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,Good
345,A13,10,Up To Date,car (new),3949,A61,< 1 year,1,A93,A103,1,A122,37,A143,A152,1,A172,2,A191,A201,Good
346,A14,15,Critical Account,radio/television,1459,A61,1 - 4 years,4,A92,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,Good
347,A12,13,Critical Account,radio/television,882,A61,< 1 year,4,A93,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,Good
348,A12,24,Up To Date,radio/television,3758,A63,unemployed,1,A92,A101,4,A124,23,A143,A151,1,A171,1,A191,A201,Good
349,A14,6,Late Payment,business,1743,A62,1 - 4 years,1,A93,A101,2,A121,34,A143,A152,2,A172,1,A191,A201,Good
350,A12,9,Critical Account,education,1136,A64,>= 7 years,4,A93,A101,3,A124,32,A143,A153,2,A173,2,A191,A201,Bad
351,A14,9,Up To Date,domestic appliances,1236,A61,< 1 year,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,Good
352,A12,9,Up To Date,furniture/equipment,959,A61,1 - 4 years,1,A92,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,Bad
353,A14,18,Critical Account,car (used),3229,A65,unemployed,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,Good
354,A11,12,All Paid,radio/television,6199,A61,1 - 4 years,4,A93,A101,2,A122,28,A143,A151,2,A173,1,A192,A201,Bad
355,A14,10,Up To Date,education,727,A63,>= 7 years,4,A93,A101,4,A124,46,A143,A153,1,A173,1,A192,A201,Good
356,A12,24,Up To Date,car (new),1246,A61,< 1 year,4,A93,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,Bad
357,A14,12,Critical Account,radio/television,2331,A65,>= 7 years,1,A93,A102,4,A121,49,A143,A152,1,A173,1,A192,A201,Good
358,A14,36,Late Payment,radio/television,4463,A61,1 - 4 years,4,A93,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,Bad
359,A14,12,Up To Date,radio/television,776,A61,1 - 4 years,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,Good
360,A11,30,Up To Date,furniture/equipment,2406,A61,4 - 7 years,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,Bad
361,A12,18,Up To Date,education,1239,A65,1 - 4 years,4,A93,A101,4,A124,61,A143,A153,1,A173,1,A191,A201,Good
362,A13,12,Up To Date,radio/television,3399,A65,>= 7 years,2,A93,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,Good
363,A13,12,Late Payment,car (new),2247,A61,1 - 4 years,2,A92,A101,2,A123,36,A142,A152,2,A173,1,A192,A201,Good
364,A14,6,Up To Date,furniture/equipment,1766,A61,1 - 4 years,1,A94,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,Good
365,A11,18,Up To Date,furniture/equipment,2473,A61,unemployed,4,A93,A101,1,A123,25,A143,A152,1,A171,1,A191,A201,Bad
366,A14,12,Up To Date,business,1542,A61,4 - 7 years,2,A93,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,Good
367,A14,18,Critical Account,car (used),3850,A61,4 - 7 years,3,A93,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,Good
368,A11,18,Up To Date,furniture/equipment,3650,A61,< 1 year,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,Good
369,A11,36,Up To Date,furniture/equipment,3446,A61,>= 7 years,4,A93,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,Bad
370,A12,18,Up To Date,furniture/equipment,3001,A61,4 - 7 years,2,A92,A101,4,A121,40,A143,A151,1,A173,1,A191,A201,Good
371,A14,36,Up To Date,car (new),3079,A65,1 - 4 years,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,Good
372,A14,18,Critical Account,radio/television,6070,A61,>= 7 years,3,A93,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,Good
373,A14,10,Critical Account,furniture/equipment,2146,A61,< 1 year,1,A92,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,Good
374,A14,60,Critical Account,car (new),13756,A65,>= 7 years,2,A93,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,Good
375,A12,60,All Paid This Bank,others,14782,A62,>= 7 years,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,Bad
376,A11,48,All Paid This Bank,business,7685,A61,4 - 7 years,2,A92,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,Bad
377,A14,18,Late Payment,radio/television,2320,A61,unemployed,2,A94,A101,3,A121,34,A143,A152,2,A173,1,A191,A201,Good
378,A14,7,Late Payment,radio/television,846,A65,>= 7 years,3,A93,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,Good
379,A12,36,Up To Date,car (new),14318,A61,>= 7 years,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,Bad
380,A14,6,Critical Account,car (new),362,A62,1 - 4 years,4,A92,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,Good
381,A11,20,Up To Date,furniture/equipment,2212,A65,4 - 7 years,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A192,A201,Good
382,A12,18,Up To Date,car (used),12976,A61,unemployed,3,A92,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,Bad
383,A14,22,Up To Date,car (new),1283,A65,4 - 7 years,4,A92,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,Good
384,A13,12,Up To Date,car (new),1330,A61,< 1 year,4,A93,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,Good
385,A14,30,Late Payment,business,4272,A62,1 - 4 years,2,A93,A101,2,A122,26,A143,A152,2,A172,1,A191,A201,Good
386,A14,18,Critical Account,radio/television,2238,A61,1 - 4 years,2,A92,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,Good
387,A14,18,Up To Date,radio/television,1126,A65,< 1 year,4,A92,A101,2,A121,21,A143,A151,1,A173,1,A192,A201,Good
388,A12,18,Critical Account,furniture/equipment,7374,A61,unemployed,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,Good
389,A12,15,Critical Account,business,2326,A63,1 - 4 years,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,Good
390,A14,9,Up To Date,business,1449,A61,4 - 7 years,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,Good
391,A14,18,Up To Date,car (new),1820,A61,1 - 4 years,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,Good
392,A12,12,Up To Date,furniture/equipment,983,A64,< 1 year,1,A92,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,Good
393,A11,36,Up To Date,car (new),3249,A61,4 - 7 years,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,Good
394,A11,6,Critical Account,radio/television,1957,A61,4 - 7 years,1,A92,A101,4,A123,31,A143,A152,1,A173,1,A191,A201,Good
395,A14,9,Critical Account,furniture/equipment,2406,A61,unemployed,2,A93,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,Good
396,A12,39,Late Payment,education,11760,A62,4 - 7 years,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,Good
397,A11,12,Up To Date,furniture/equipment,2578,A61,unemployed,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,Good
398,A11,36,Critical Account,furniture/equipment,2348,A61,1 - 4 years,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,Good
399,A12,12,Up To Date,car (new),1223,A61,>= 7 years,1,A91,A101,1,A121,46,A143,A151,2,A173,1,A191,A201,Bad
400,A14,24,Critical Account,radio/television,1516,A64,1 - 4 years,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,Good
401,A14,18,Up To Date,radio/television,1473,A61,< 1 year,3,A94,A101,4,A121,39,A143,A152,1,A173,1,A192,A201,Good
402,A12,18,Critical Account,business,1887,A65,1 - 4 years,4,A94,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,Good
403,A14,24,Late Payment,business,8648,A61,< 1 year,2,A93,A101,2,A123,27,A141,A152,2,A173,1,A192,A201,Bad
404,A14,14,Late Payment,car (new),802,A61,1 - 4 years,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,Good
