id,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
B17359,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Female,50plus,Divorced,1,Bachelors degree,Retired,Less than $12500,,never,4~8,gt8,gt8,less1,1,1,0,1,0
B17502,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,,less1,less1,less1,less1,never,1,0,0,1,0
B17711,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,21,Single,0,High School Graduate,Unemployed,$25000 - $37499,,less1,1~3,4~8,1~3,less1,1,1,0,1,0
B19187,No Urgent Place,Partner,Sunny,80,6PM,Bar,2h,Female,26,Unmarried partner,0,Associates degree,Office & Administrative Support,$12500 - $24999,,less1,1~3,1~3,1~3,1~3,1,1,0,0,1
B19253,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Female,26,Unmarried partner,0,High School Graduate,Healthcare Support,$25000 - $37499,,less1,less1,1~3,1~3,1~3,1,0,0,0,1
B19516,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Community & Social Services,$100000 or More,,less1,gt8,4~8,gt8,1~3,1,1,0,1,0
B19519,Home,Alone,Sunny,55,6PM,Bar,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,,never,1~3,less1,1~3,1~3,1,0,0,1,0
B19723,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,31,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,,never,less1,4~8,less1,less1,1,1,1,0,1
B19834,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Male,31,Single,0,Some college - no degree,Unemployed,$12500 - $24999,,1~3,less1,4~8,less1,never,1,1,0,0,1
B19990,No Urgent Place,Partner,Sunny,80,2PM,Coffee House,2h,Male,36,Married partner,0,Some college - no degree,Healthcare Practitioners & Technical,$25000 - $37499,,never,gt8,4~8,less1,less1,1,0,0,0,1
B20357,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$25000 - $37499,,less1,,1~3,never,never,1,0,0,0,1
B20485,Home,Alone,Snowy,30,6PM,Coffee House,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,,never,1~3,less1,1~3,1~3,1,1,0,0,1
B20963,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Male,41,Divorced,1,Associates degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,4~8,4~8,1~3,1~3,less1,1,1,0,0,1
B21105,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,,never,4~8,4~8,1~3,less1,1,1,0,0,1
B21705,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,,1~3,1~3,1~3,gt8,1~3,1,0,0,0,1
B21765,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,26,Single,0,High School Graduate,Sales & Related,$12500 - $24999,,never,never,4~8,1~3,never,1,0,0,0,1
B21853,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,31,Single,0,Some college - no degree,Transportation & Material Moving,$50000 - $62499,,1~3,4~8,4~8,4~8,1~3,1,0,0,0,1
B21892,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,,less1,less1,gt8,4~8,less1,1,0,0,0,1
B22755,No Urgent Place,Partner,Sunny,80,10PM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,1,0,0,1
B23087,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,31,Single,0,High School Graduate,Unemployed,$12500 - $24999,,never,never,1~3,1~3,1~3,1,1,0,0,1
B23881,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,less1,less1,less1,1,0,0,1,0
B25937,No Urgent Place,Partner,Sunny,80,2PM,Coffee House,2h,Female,31,Unmarried partner,0,Some High School,Computer & Mathematical,$12500 - $24999,,1~3,1~3,4~8,1~3,less1,1,0,0,0,1
B26970,Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Management,$50000 - $62499,,never,less1,less1,1~3,less1,1,1,1,0,1
B27272,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,46,Married partner,1,Some High School,Unemployed,$12500 - $24999,,never,never,less1,less1,never,1,0,0,0,1
B28352,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,,never,4~8,4~8,gt8,4~8,1,0,0,0,1
B29083,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,21,Single,0,Bachelors degree,Management,$25000 - $37499,,4~8,never,4~8,gt8,1~3,1,1,0,0,1
B29130,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,36,Single,1,Some college - no degree,Healthcare Practitioners & Technical,$12500 - $24999,,never,less1,gt8,4~8,less1,1,1,1,0,1
B29360,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,21,Unmarried partner,0,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,,1~3,less1,1~3,1~3,never,1,0,0,0,1
B29626,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,31,Single,0,Bachelors degree,Unemployed,$100000 or More,,never,4~8,gt8,4~8,less1,1,1,0,0,1
B30181,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,,1~3,never,4~8,1~3,less1,1,0,0,1,0
B30740,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,46,Unmarried partner,1,Bachelors degree,Business & Financial,$62500 - $74999,,never,less1,4~8,1~3,never,1,0,0,1,0
B30741,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Male,31,Married partner,0,Some college - no degree,Sales & Related,$50000 - $62499,,1~3,1~3,gt8,4~8,1~3,1,0,0,0,1
B32286,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,,never,1~3,1~3,1~3,less1,1,0,0,1,0
B33376,Home,Alone,Sunny,80,10PM,Restaurant(<20),2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,,less1,less1,less1,1~3,less1,1,0,0,1,0
B33403,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,,1~3,1~3,1~3,4~8,1~3,1,0,0,0,1
B33480,Home,Alone,Sunny,55,6PM,Restaurant(20-50),2h,Male,21,Single,0,High School Graduate,Unemployed,$25000 - $37499,,less1,1~3,4~8,1~3,less1,1,1,0,0,1
B34406,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$25000 - $37499,,less1,,1~3,never,never,1,0,0,1,0
B34812,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,31,Single,0,Bachelors degree,Unemployed,Less than $12500,,less1,1~3,gt8,1~3,never,1,0,0,0,1
B35595,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,,1~3,never,4~8,1~3,less1,1,1,1,0,1
B36242,Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,,never,1~3,4~8,less1,never,1,1,1,0,1
B37382,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Female,31,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,never,1~3,4~8,4~8,never,1,0,0,0,1
B37424,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,,less1,never,4~8,gt8,less1,1,0,0,0,1
B37936,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,26,Unmarried partner,0,High School Graduate,Healthcare Support,$25000 - $37499,,less1,less1,1~3,1~3,1~3,1,1,0,0,1
B39362,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Life Physical Social Science,$100000 or More,,less1,4~8,1~3,1~3,less1,1,1,1,0,1
B39697,Work,Alone,Sunny,55,7AM,Bar,1d,Female,46,Married partner,1,Some High School,Unemployed,$12500 - $24999,,never,never,less1,less1,never,1,1,1,0,1
B39962,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,26,Single,1,Some college - no degree,Sales & Related,Less than $12500,,never,never,never,1~3,never,1,0,0,0,1
B40421,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,21,Single,0,High School Graduate,Student,$37500 - $49999,,less1,never,less1,less1,never,1,1,1,0,1
B40825,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,36,Married partner,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,,never,never,1~3,1~3,less1,1,1,0,0,1
B41236,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,,1~3,4~8,less1,4~8,less1,1,1,0,0,1
B41776,Home,Alone,Sunny,80,10PM,Restaurant(<20),2h,Male,26,Single,0,Graduate degree (Masters or Doctorate),Management,$25000 - $37499,,4~8,gt8,gt8,4~8,less1,1,0,0,1,0
B42006,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Male,26,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,,never,1~3,1~3,less1,1~3,1,0,0,0,1
B42050,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Female,below21,Unmarried partner,0,High School Graduate,Student,Less than $12500,,never,4~8,1~3,4~8,less1,1,0,0,0,1
B42203,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,,never,less1,4~8,4~8,less1,1,0,0,0,1
B43518,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,,1~3,never,4~8,less1,less1,1,0,0,1,0
B44081,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,,never,never,,4~8,1~3,1,0,0,0,1
B44319,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,,1~3,never,4~8,1~3,less1,1,1,0,0,1
B44348,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Management,$37500 - $49999,,never,never,4~8,1~3,less1,1,0,0,1,0
B44378,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Male,31,Married partner,1,Bachelors degree,Architecture & Engineering,$87500 - $99999,,less1,less1,4~8,less1,less1,1,0,0,0,1
B44813,No Urgent Place,Partner,Rainy,55,10AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,,1~3,never,4~8,never,1~3,1,0,0,0,1
B45157,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Unmarried partner,0,Some college - no degree,Management,$37500 - $49999,,less1,less1,less1,1~3,less1,1,1,0,1,0
B45515,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,26,Single,0,Associates degree,Office & Administrative Support,$37500 - $49999,,4~8,less1,1~3,4~8,1~3,1,1,0,0,1
B45794,Home,Alone,Sunny,55,6PM,Bar,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,,less1,4~8,4~8,1~3,less1,1,0,0,1,0
B46017,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,,never,never,1~3,gt8,1~3,1,0,0,0,1
B46734,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,26,Single,0,Bachelors degree,Computer & Mathematical,$25000 - $37499,,less1,less1,4~8,1~3,never,1,0,0,1,0
B46800,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,,1~3,4~8,4~8,4~8,4~8,1,0,0,0,1
B47337,No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,never,1~3,never,1~3,less1,1,1,0,0,1
B47976,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,1,0,0,1
B48662,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Unmarried partner,0,High School Graduate,Business & Financial,$12500 - $24999,,never,1~3,less1,1~3,never,1,0,0,0,1
B49487,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Married partner,0,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,,4~8,1~3,4~8,4~8,1~3,1,0,0,1,0
B49507,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,,never,1~3,1~3,1~3,1~3,1,1,1,0,1
B49749,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Healthcare Practitioners & Technical,$37500 - $49999,,1~3,1~3,gt8,gt8,gt8,1,1,0,0,1
B50134,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,4~8,4~8,4~8,4~8,less1,1,0,0,1,0
B50198,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,,1~3,never,4~8,less1,less1,1,1,0,0,1
B51755,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,Single,0,Some college - no degree,Office & Administrative Support,$37500 - $49999,,4~8,4~8,4~8,4~8,less1,1,0,0,0,1
B51790,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,,4~8,gt8,4~8,4~8,4~8,1,1,0,0,1
B52060,Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,,1~3,less1,4~8,1~3,4~8,1,1,1,0,1
B52187,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,never,never,1~3,1~3,1~3,1,1,0,0,1
B52376,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,,never,4~8,4~8,1~3,less1,1,1,0,0,1
B52684,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Male,31,Married partner,1,Bachelors degree,Architecture & Engineering,$87500 - $99999,,less1,less1,4~8,less1,less1,1,0,0,1,0
B52816,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,36,Married partner,1,Associates degree,Computer & Mathematical,$100000 or More,,never,less1,4~8,1~3,less1,1,1,0,0,1
B52835,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,,never,1~3,1~3,never,1~3,1,1,1,0,1
B53560,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),2h,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,,less1,4~8,4~8,4~8,4~8,1,0,0,0,1
B53606,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,,never,gt8,1~3,gt8,1~3,1,1,0,0,1
B54073,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,,less1,1~3,4~8,4~8,less1,1,1,0,0,1
B54136,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,,never,gt8,never,4~8,less1,1,1,0,0,1
B55533,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Some college - no degree,Sales & Related,$100000 or More,,less1,never,gt8,1~3,less1,1,0,0,1,0
B55905,Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,,1~3,never,1~3,1~3,4~8,1,1,1,0,1
B56319,No Urgent Place,Friend(s),Sunny,30,10PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,0,0,0,1
B56423,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,,never,less1,gt8,4~8,less1,1,0,0,1,0
B57193,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,,never,less1,4~8,1~3,less1,1,1,0,0,1
B57518,No Urgent Place,Partner,Snowy,30,2PM,Coffee House,2h,Male,21,Unmarried partner,0,High School Graduate,Sales & Related,$37500 - $49999,,never,less1,4~8,4~8,less1,1,1,0,0,1
B57680,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,36,Single,0,Some college - no degree,Sales & Related,$50000 - $62499,,never,never,less1,4~8,less1,1,1,0,0,1
B57998,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,,less1,less1,4~8,4~8,less1,1,1,0,0,1
B58265,No Urgent Place,Alone,Sunny,80,10PM,Restaurant(<20),1d,Male,below21,Single,0,High School Graduate,Student,$87500 - $99999,,never,less1,1~3,4~8,4~8,1,0,0,0,1
B58652,No Urgent Place,Friend(s),Sunny,55,6PM,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,less1,1~3,less1,1,1,0,0,1
B58746,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,1,1,0,1
B60164,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Male,26,Single,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,,1~3,gt8,4~8,4~8,1~3,1,1,0,1,0
B60591,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,below21,Single,0,Some college - no degree,Student,$87500 - $99999,,never,4~8,,4~8,less1,1,1,1,0,1
B60865,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,,1~3,1~3,1~3,less1,less1,1,0,0,1,0
B61439,Work,Alone,Sunny,55,7AM,Coffee House,1d,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,,1~3,never,4~8,1~3,less1,1,1,0,0,1
B62130,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,26,Single,0,Associates degree,Office & Administrative Support,$37500 - $49999,,4~8,less1,1~3,4~8,1~3,1,0,0,0,1
B62319,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,,1~3,1~3,4~8,4~8,1~3,1,0,0,0,1
B62630,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,,never,never,4~8,4~8,less1,1,0,0,0,1
B64116,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,50plus,Single,0,High School Graduate,Management,$37500 - $49999,,less1,less1,less1,less1,1~3,1,1,0,0,1
B64409,Home,Alone,Rainy,55,6PM,Bar,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,,less1,1~3,less1,1~3,less1,1,1,1,0,1
B64426,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Management,$62500 - $74999,,1~3,1~3,1~3,4~8,less1,1,1,0,0,1
B64726,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,,less1,1~3,1~3,1~3,less1,1,1,0,0,1
B65030,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Single,0,Some college - no degree,Student,Less than $12500,,gt8,4~8,4~8,4~8,1~3,1,0,0,0,1
B66804,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Female,31,Single,0,Bachelors degree,Transportation & Material Moving,$25000 - $37499,,less1,1~3,4~8,gt8,less1,1,0,0,0,1
B67008,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,41,Married partner,0,Bachelors degree,Office & Administrative Support,$62500 - $74999,,4~8,1~3,4~8,gt8,less1,1,1,0,0,1
B67026,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Female,21,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,,never,less1,1~3,1~3,less1,1,0,0,0,1
B68200,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,,less1,4~8,4~8,4~8,4~8,1,0,0,0,1
B68477,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,,1~3,never,4~8,1~3,1~3,1,0,0,0,1
B68567,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,,less1,less1,1~3,1~3,less1,1,1,0,0,1
B68738,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,1~3,1~3,1,0,0,0,1
B69198,Home,Alone,Snowy,30,10PM,Carry out & Take away,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,,1~3,never,4~8,1~3,less1,1,1,1,0,1
B69210,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Computer & Mathematical,$37500 - $49999,Car that is too old to install Onstar :D,never,less1,1~3,less1,less1,1,1,1,0,1
B69696,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Unemployed,$100000 or More,,less1,4~8,1~3,less1,less1,1,1,0,1,0
B70448,Home,Alone,Sunny,30,6PM,Carry out & Take away,1d,Male,26,Single,1,Some college - no degree,Sales & Related,Less than $12500,,never,never,never,1~3,never,1,0,0,0,1
B70860,Home,Alone,Sunny,80,10PM,Bar,1d,Female,26,Single,1,High School Graduate,Unemployed,Less than $12500,,less1,less1,4~8,1~3,never,1,1,0,1,0
B70870,No Urgent Place,Kid(s),Rainy,55,6PM,Carry out & Take away,2h,Male,36,Married partner,1,Bachelors degree,Business & Financial,$75000 - $87499,,less1,less1,4~8,1~3,1~3,1,1,0,0,1
B70888,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),1d,Male,36,Single,0,Some college - no degree,Computer & Mathematical,$37500 - $49999,,less1,1~3,4~8,1~3,less1,1,0,0,0,1
B70944,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,31,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,never,1~3,4~8,4~8,never,1,0,0,0,1
B72993,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,,1~3,less1,1~3,less1,1~3,1,1,1,0,1
B73117,Work,Alone,Sunny,80,7AM,Coffee House,2h,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Retired,$62500 - $74999,,never,4~8,1~3,4~8,less1,1,0,0,1,0
B73380,Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Some college - no degree,Computer & Mathematical,$25000 - $37499,,less1,1~3,1~3,1~3,less1,1,0,0,1,0
B73570,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Male,36,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,,less1,never,1~3,less1,less1,1,1,0,0,1
B73667,No Urgent Place,Friend(s),Sunny,80,10PM,Coffee House,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,,less1,4~8,4~8,gt8,1~3,1,1,0,0,1
B73674,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Management,$37500 - $49999,,never,never,4~8,1~3,less1,1,0,0,1,0
B74219,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,,1~3,never,less1,less1,less1,1,1,0,1,0
B74913,Home,Alone,Sunny,30,6PM,Restaurant(20-50),1d,Female,50plus,Single,1,Some college - no degree,Unemployed,Less than $12500,,never,1~3,less1,1~3,less1,1,0,0,1,0
B75155,No Urgent Place,Kid(s),Sunny,80,10AM,Coffee House,2h,Female,46,Married partner,1,Some High School,Unemployed,$12500 - $24999,,never,never,less1,less1,never,1,0,0,0,1
B75570,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,50plus,Single,0,Bachelors degree,Unemployed,Less than $12500,,never,never,less1,less1,never,1,0,0,0,1
B75613,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,,never,never,1~3,less1,never,1,0,0,0,1
B77313,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,,never,gt8,never,4~8,less1,1,0,0,0,1
B77533,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,,1~3,1~3,4~8,4~8,1~3,1,0,0,0,1
B77839,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,26,Single,0,Bachelors degree,Office & Administrative Support,$87500 - $99999,do not drive,gt8,less1,1~3,1~3,1~3,1,1,0,0,1
B78058,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,41,Married partner,1,Some college - no degree,Business & Financial,$100000 or More,,less1,less1,1~3,1~3,less1,1,0,0,1,0
